Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
21217486,-10.26,142.87,0.0,0.00,0.0,0.0,0.0
21281063,-10.32,143.23,0.0,0.00,0.0,0.0,0.0
21344640,-10.38,143.58,0.0,0.00,0.0,0.0,0.0
21408217,-10.38,143.93,0.0,0.00,0.0,0.0,0.0
21471794,-10.44,144.11,0.0,0.00,0.0,0.0,0.0
21535371,-10.50,144.46,0.0,0.00,0.0,0.0,0.0
21598948,-10.56,144.81,0.0,0.00,0.0,0.0,0.0
21662525,-10.62,145.16,0.0,0.00,0.0,0.0,0.0
21726102,-10.67,145.51,0.0,0.00,0.0,0.0,0.0
21789679,-10.73,145.87,0.0,0.00,0.0,0.0,0.0
21853256,-10.73,146.22,0.0,0.00,0.0,0.0,0.0
21916833,-10.79,146.57,0.0,0.00,0.0,0.0,0.0
21980410,-10.85,146.74,0.0,0.00,0.0,0.0,0.0
22043987,-10.91,147.10,0.0,0.00,0.0,0.0,0.0
22107564,-10.97,147.45,0.0,0.00,0.0,0.0,0.0
22171141,-11.03,147.80,0.0,0.00,0.0,0.0,0.0
22234718,-11.09,148.15,0.0,0.00,0.0,0.0,0.0
22298295,-11.09,148.50,0.0,0.00,0.0,0.0,0.0
22361872,-11.14,148.68,0.0,0.00,0.0,0.0,0.0
22425449,-11.20,149.03,0.0,0.00,0.0,0.0,0.0
22489026,-11.26,149.38,0.0,0.00,0.0,0.0,0.0
22552603,-11.32,149.74,0.0,0.00,0.0,0.0,0.0
22616180,-11.32,149.91,0.0,0.00,0.0,0.0,0.0
22679757,-11.38,150.26,0.0,0.00,0.0,0.0,0.0
22743334,-11.44,150.62,0.0,0.00,0.0,0.0,0.0
22806911,-11.50,150.97,0.0,0.00,0.0,0.0,0.0
22870488,-11.55,151.32,0.0,0.00,0.0,0.0,0.0
22934065,-11.61,151.50,0.0,0.00,0.0,0.0,0.0
22997642,-11.61,151.85,0.0,0.00,0.0,0.0,0.0
23061219,-11.67,152.20,0.0,0.00,0.0,0.0,0.0
23124796,-11.73,152.38,0.0,0.00,0.0,0.0,0.0
23188373,-11.79,152.73,0.0,0.00,0.0,0.0,0.0
23251950,-11.85,153.08,0.0,0.00,0.0,0.0,0.0
23315527,-11.91,153.43,0.0,0.00,0.0,0.0,0.0
23379104,-11.96,153.78,0.0,0.00,0.0,0.0,0.0
23442681,-11.96,153.96,0.0,0.00,0.0,0.0,0.0
23506258,-12.02,154.31,0.0,0.00,0.0,0.0,0.0
23569835,-12.08,154.66,0.0,0.00,0.0,0.0,0.0
23633412,-12.14,154.84,0.0,0.00,0.0,0.0,0.0
23696989,-12.20,155.19,0.0,0.00,0.0,0.0,0.0
23760566,-12.20,155.54,0.0,0.00,0.0,0.0,0.0
23824143,-12.26,155.72,0.0,0.00,0.0,0.0,0.0
23887720,-12.32,156.07,0.0,0.00,0.0,0.0,0.0
23951297,-12.38,156.42,0.0,0.00,0.0,0.0,0.0
24014874,-12.43,156.60,0.0,0.00,0.0,0.0,0.0
24078451,-12.43,156.95,0.0,0.00,0.0,0.0,0.0
24142028,-12.49,157.30,0.0,0.00,0.0,0.0,0.0
24205605,-12.55,157.48,0.0,0.00,0.0,0.0,0.0
24269182,-12.61,157.83,0.0,0.00,0.0,0.0,0.0
24332759,-12.67,158.01,0.0,0.00,0.0,0.0,0.0
24396336,-12.67,158.36,0.0,0.00,0.0,0.0,0.0
24459913,-12.73,158.53,0.0,0.00,0.0,0.0,0.0
24523490,-12.79,158.89,0.0,0.00,0.0,0.0,0.0
24587067,-12.84,159.24,0.0,0.00,0.0,0.0,0.0
24650644,-12.90,159.41,0.0,0.00,0.0,0.0,0.0
24714221,-12.90,159.77,0.0,0.00,0.0,0.0,0.0
24777798,-12.96,159.94,0.0,0.00,0.0,0.0,0.0
24841375,-13.02,160.29,0.0,0.00,0.0,0.0,0.0
24904952,-13.08,160.47,0.0,0.00,0.0,0.0,0.0
24968529,-13.14,160.82,0.0,0.00,0.0,0.0,0.0
25032106,-13.14,161.00,0.0,0.00,0.0,0.0,0.0
25095683,-13.26,161.35,0.0,0.00,0.0,0.0,0.0
25159260,-13.26,161.52,0.0,0.00,0.0,0.0,0.0
25222837,-13.31,161.88,0.0,0.00,0.0,0.0,0.0
25286414,-13.37,162.05,0.0,0.00,0.0,0.0,0.0
25349991,-13.37,162.40,0.0,0.00,0.0,0.0,0.0
25413568,-13.43,162.58,0.0,0.00,0.0,0.0,0.0
25477145,-13.49,162.93,0.0,0.00,0.0,0.0,0.0
25540722,-13.49,163.11,0.0,0.00,0.0,0.0,0.0
25604299,-13.55,163.46,0.0,0.00,0.0,0.0,0.0
25667876,-13.61,163.64,0.0,0.00,0.0,0.0,0.0
25731453,-13.67,163.99,0.0,0.00,0.0,0.0,0.0
25795030,-13.72,164.16,0.0,0.00,0.0,0.0,0.0
25858607,-13.78,164.52,0.0,0.00,0.0,0.0,0.0
25922184,-13.78,164.69,0.0,0.00,0.0,0.0,0.0
25985761,-13.84,164.87,0.0,0.00,0.0,0.0,0.0
26049338,-13.84,165.22,0.0,0.00,0.0,0.0,0.0
26112915,-13.90,165.40,0.0,0.00,0.0,0.0,0.0
26176492,-13.96,165.75,0.0,0.00,0.0,0.0,0.0
26240069,-14.02,165.92,0.0,0.00,0.0,0.0,0.0
26303646,-14.02,166.28,0.0,0.00,0.0,0.0,0.0
26367223,-14.08,166.45,0.0,0.00,0.0,0.0,0.0
26430800,-14.13,166.80,0.0,0.00,0.0,0.0,0.0
26494377,-14.19,166.98,0.0,0.00,0.0,0.0,0.0
26557954,-14.19,167.33,0.0,0.00,0.0,0.0,0.0
26621531,-14.25,167.51,0.0,0.00,0.0,0.0,0.0
26685108,-14.25,167.68,0.0,0.00,0.0,0.0,0.0
26748685,-14.31,168.04,0.0,0.00,0.0,0.0,0.0
26812262,-14.37,168.21,0.0,0.00,0.0,0.0,0.0
26875839,-14.43,168.39,0.0,0.00,0.0,0.0,0.0
26939416,-14.49,168.74,0.0,0.00,0.0,0.0,0.0
27002993,-14.55,168.91,0.0,0.00,0.0,0.0,0.0
27066570,-14.60,169.27,0.0,0.00,0.0,0.0,0.0
27130147,-14.60,169.27,0.0,0.00,0.0,0.0,0.0
27193724,-14.66,169.44,0.0,0.00,0.0,0.0,0.0
27257301,-14.66,169.97,0.0,0.00,0.0,0.0,0.0
27320878,-14.72,170.15,0.0,0.00,0.0,0.0,0.0
