Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
33751067,-44.69,96.95,0.0,0.00,0.0,0.0,0.0
33857748,-43.64,97.65,0.0,0.00,0.0,0.0,0.0
33964429,-44.16,97.13,0.0,0.00,0.0,0.0,0.0
34071110,-43.93,98.71,0.0,0.00,0.0,0.0,0.0
34177791,-44.05,98.89,0.0,0.00,0.0,0.0,0.0
34284472,-43.70,99.94,0.0,0.00,0.0,0.0,0.0
34391153,-43.70,100.82,0.0,0.00,0.0,0.0,0.0
34497834,-42.46,98.53,0.0,0.00,0.0,0.0,0.0
34604515,-43.05,99.06,0.0,0.00,0.0,0.0,0.0
34711196,-43.93,101.35,0.0,0.00,0.0,0.0,0.0
34817877,-44.69,102.93,0.0,0.00,0.0,0.0,0.0
34924558,-43.05,101.17,0.0,0.00,0.0,0.0,0.0
35031239,-42.76,101.88,0.0,0.00,0.0,0.0,0.0
35137920,-43.46,103.28,0.0,0.00,0.0,0.0,0.0
35244601,-43.87,103.99,0.0,0.00,0.0,0.0,0.0
35351282,-44.93,102.58,0.0,0.00,0.0,0.0,0.0
35457963,-43.34,101.70,0.0,0.00,0.0,0.0,0.0
35564644,-43.17,100.12,0.0,0.00,0.0,0.0,0.0
35671325,-43.99,100.65,0.0,0.00,0.0,0.0,0.0
35778006,-43.93,102.23,0.0,0.00,0.0,0.0,0.0
35884687,-44.16,103.81,0.0,0.00,0.0,0.0,0.0
35991368,-43.05,101.35,0.0,0.00,0.0,0.0,0.0
36098049,-43.93,103.11,0.0,0.00,0.0,0.0,0.0
36204730,-44.34,103.81,0.0,0.00,0.0,0.0,0.0
36311411,-44.81,105.57,0.0,0.00,0.0,0.0,0.0
36418092,-43.17,103.11,0.0,0.00,0.0,0.0,0.0
36524773,-44.22,105.04,0.0,0.00,0.0,0.0,0.0
36631454,-43.58,104.34,0.0,0.00,0.0,0.0,0.0
36738135,-42.29,103.11,0.0,0.00,0.0,0.0,0.0
36844816,-43.34,103.81,0.0,0.00,0.0,0.0,0.0
36951497,-42.70,103.81,0.0,0.00,0.0,0.0,0.0
37058178,-43.93,103.81,0.0,0.00,0.0,0.0,0.0
