Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
60023422,-0.06,9.85,22.9,296.19,579.2,579.6,87.7
60216309,-0.06,9.85,22.9,296.19,579.2,579.6,87.7
60409196,-0.18,10.03,65.4,98.73,562.3,566.1,83.4
60602083,-0.06,10.03,22.1,296.19,569.0,569.4,87.8
60794970,-0.06,10.21,21.3,296.19,559.1,559.5,87.8
60987857,-0.76,10.21,223.4,22.80,450.2,502.6,63.6
61180744,-0.06,10.38,20.6,296.19,549.6,550.0,87.9
61373631,-0.06,10.38,20.6,296.19,549.6,550.0,87.9
61566518,-0.06,10.38,20.6,296.19,549.6,550.0,87.9
61759405,-0.06,10.56,19.9,296.19,540.5,540.8,87.9
61952292,-0.06,10.56,19.9,296.19,540.5,540.8,87.9
62145179,-0.23,10.73,75.6,74.05,521.4,526.8,81.7
62338066,-0.06,10.73,19.3,296.19,531.6,531.9,87.9
62530953,-0.06,10.91,18.7,296.19,523.0,523.3,88.0
62723840,-0.06,10.91,18.7,296.19,523.0,523.3,88.0
62916727,-0.06,11.09,18.1,296.19,514.6,514.9,88.0
63109614,-0.06,11.09,18.1,296.19,514.6,514.9,88.0
63302501,-0.06,11.26,17.5,296.19,506.6,506.9,88.0
63495388,-0.06,11.26,17.5,296.19,506.6,506.9,88.0
63688275,-0.12,11.44,33.9,148.10,497.0,498.2,86.1
63881162,-0.12,11.44,33.9,148.10,497.0,498.2,86.1
64074049,-0.12,11.61,32.8,148.10,489.5,490.6,86.2
64266936,-0.12,11.61,32.8,148.10,489.5,490.6,86.2
64459823,-0.12,11.79,31.9,148.10,482.2,483.3,86.2
64652710,-0.12,11.79,31.9,148.10,482.2,483.3,86.2
64845597,-0.12,11.79,31.9,148.10,482.2,483.3,86.2
65038484,-0.12,11.96,31.0,148.10,475.1,476.1,86.3
65231371,-0.12,11.96,31.0,148.10,475.1,476.1,86.3
65424258,-0.12,12.14,30.1,148.10,468.3,469.2,86.3
65617145,-0.12,12.14,30.1,148.10,468.3,469.2,86.3
65810032,-0.12,12.14,30.1,148.10,468.3,469.2,86.3
66002919,-0.12,12.32,29.2,148.10,461.6,462.5,86.4
66195806,-0.12,12.32,29.2,148.10,461.6,462.5,86.4
66388693,-0.12,12.32,29.2,148.10,461.6,462.5,86.4
66581580,-0.12,12.49,28.4,148.10,455.1,456.0,86.4
66774467,-0.12,12.49,28.4,148.10,455.1,456.0,86.4
66967354,-0.12,12.49,28.4,148.10,455.1,456.0,86.4
67160241,-0.12,12.67,27.6,148.10,448.7,449.6,86.5
67353128,-0.12,12.67,27.6,148.10,448.7,449.6,86.5
67546015,-0.12,12.67,27.6,148.10,448.7,449.6,86.5
67738902,-0.12,12.84,26.9,148.10,442.6,443.4,86.5
67931789,-0.12,12.84,26.9,148.10,442.6,443.4,86.5
68124676,-0.12,13.02,26.2,148.10,436.6,437.4,86.6
68317563,-0.12,13.02,26.2,148.10,436.6,437.4,86.6
68510450,-0.12,13.20,25.5,148.10,430.8,431.5,86.6
68703337,-0.12,13.20,25.5,148.10,430.8,431.5,86.6
68896224,-0.12,13.37,24.8,148.10,425.1,425.8,86.7
69089111,-0.12,13.37,24.8,148.10,425.1,425.8,86.7
69281998,-0.12,13.55,24.2,148.10,419.6,420.2,86.7
69474885,-0.12,13.55,24.2,148.10,419.6,420.2,86.7
69667772,-0.12,13.55,24.2,148.10,419.6,420.2,86.7
69860659,-0.12,13.72,23.6,148.10,414.2,414.8,86.7
70053546,-0.12,13.90,23.0,148.10,408.9,409.5,86.8
70246433,-0.12,13.90,23.0,148.10,408.9,409.5,86.8
70439320,-0.12,13.90,23.0,148.10,408.9,409.5,86.8
70632207,-0.12,14.08,22.4,148.10,403.8,404.4,86.8
70825094,-0.12,14.08,22.4,148.10,403.8,404.4,86.8
71017981,-0.12,14.25,21.9,148.10,398.8,399.4,86.9
71210868,-0.12,14.25,21.9,148.10,398.8,399.4,86.9
71403755,-0.12,14.43,21.3,148.10,393.9,394.4,86.9
71596642,-0.12,14.43,21.3,148.10,393.9,394.4,86.9
71789529,-0.12,14.60,20.8,148.10,389.1,389.7,86.9
71982416,-0.12,14.60,20.8,148.10,389.1,389.7,86.9
72175303,-0.12,14.78,20.4,148.10,384.4,385.0,87.0
72368190,-0.12,14.78,20.4,148.10,384.4,385.0,87.0
72561077,-0.12,14.96,19.9,148.10,379.9,380.4,87.0
72753964,-0.12,14.96,19.9,148.10,379.9,380.4,87.0
72946851,-0.12,15.13,19.4,148.10,375.4,376.0,87.0
73139738,-0.12,15.13,19.4,148.10,375.4,376.0,87.0
73332625,-0.12,15.13,19.4,148.10,375.4,376.0,87.0
73525512,-0.12,15.31,19.0,148.10,371.1,371.6,87.1
73718399,-0.12,15.31,19.0,148.10,371.1,371.6,87.1
73911286,-0.12,15.48,18.6,148.10,366.9,367.3,87.1
74104173,-0.12,15.48,18.6,148.10,366.9,367.3,87.1
74297060,-0.12,15.66,18.1,148.10,362.7,363.2,87.1
74489947,-0.12,15.66,18.1,148.10,362.7,363.2,87.1
74682834,-0.12,15.66,18.1,148.10,362.7,363.2,87.1
74875721,-0.12,15.84,17.7,148.10,358.6,359.1,87.2
75068608,-0.12,15.84,17.7,148.10,358.6,359.1,87.2
75261495,-0.12,16.01,17.4,148.10,354.7,355.1,87.2
75454382,-0.12,16.01,17.4,148.10,354.7,355.1,87.2
75647269,-0.12,16.19,17.0,148.10,350.8,351.2,87.2
75840156,-0.12,16.19,17.0,148.10,350.8,351.2,87.2
76033043,-0.12,16.19,17.0,148.10,350.8,351.2,87.2
76225930,-0.12,16.36,16.6,148.10,347.0,347.4,87.3
76418817,-0.12,16.36,16.6,148.10,347.0,347.4,87.3
76611704,-0.12,16.54,16.3,148.10,343.3,343.6,87.3
76804591,-0.06,16.54,8.2,296.19,343.8,343.9,88.6
76997478,-0.12,16.54,16.3,148.10,343.3,343.6,87.3
77190365,-0.12,16.72,15.9,148.10,339.6,340.0,87.3
77383252,-0.06,16.72,8.0,296.19,340.2,340.2,88.7
77576139,-0.06,16.89,7.8,296.19,336.6,336.7,88.7
77769026,-0.12,16.89,15.6,148.10,336.0,336.4,87.3
77961913,-0.12,17.07,15.3,148.10,332.5,332.9,87.4
78154800,-0.06,17.07,7.7,296.19,333.0,333.1,88.7
78347687,-0.12,17.07,15.3,148.10,332.5,332.9,87.4
78540574,-0.06,17.24,7.5,296.19,329.6,329.7,88.7
78733461,-0.06,17.24,7.5,296.19,329.6,329.7,88.7
78926348,-0.06,17.42,7.4,296.19,326.2,326.3,88.7
79119235,-0.06,17.42,7.4,296.19,326.2,326.3,88.7
79312122,-0.06,17.60,7.2,296.19,322.9,323.0,88.7
79505009,-0.06,17.60,7.2,296.19,322.9,323.0,88.7
79697896,-0.06,17.77,7.1,296.19,319.7,319.7,88.7
