Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
13599761,0.29,105.75,1.3,59.24,37.8,37.9,88.0
13631980,0.29,105.75,1.3,59.24,37.8,37.9,88.0
13664199,0.29,105.57,1.3,59.24,38.0,38.0,88.0
13696418,0.29,105.40,1.3,59.24,38.1,38.1,88.0
13728637,0.29,105.22,1.3,59.24,38.2,38.2,88.0
13760856,0.29,105.04,1.3,59.24,38.3,38.3,88.0
13793075,0.29,105.04,1.3,59.24,38.3,38.3,88.0
13825294,0.29,104.87,1.3,59.24,38.4,38.5,88.0
13857513,0.29,104.69,1.3,59.24,38.6,38.6,88.0
13889732,0.29,104.52,1.3,59.24,38.7,38.7,88.0
